ID,nickname,gender,level,followers,address,content,likes,time,hierarchy,rootID
5147493068969505,埃尔德席克,女,0,13,湖北,转发微博，许愿好运啊啊啊[哇][哇][哇]！#明日方舟[超话]# #明日方舟# ,0,2025-03-23 22:50:46,根评论,5147493068969505
5147135779799917,依附併發症,男,0,1147,中国香港,说我饭圈我也认了🖐😭🖐说我血腥厨子我也认了🖐😭🖐因为哭得够大就是可以加强🖐😭🖐但去年哭了5w技能剧情依旧原封不动依旧被骂🖐😭🖐到底是不是哭得大就有奶吃🖐😭🖐我们棘刺技能怎么没能优化啊🖐😭🖐重来一世我一定要让棘刺夺回他的内部爱🖐😭🖐,2,2025-03-22 23:11:01,根评论,5147135779799917
5147135768003371,依附併發症,男,0,1147,中国香港,📢出苍白海重写听到没有！出苍白海文案出来给棘刺道歉！📢出苍白海重写听到没有！出苍白海文案出来给棘刺道歉！📢出苍白海重写听到没有！出苍白海文案出来给棘刺道歉！📢出苍白海重写听到没有！出苍白海文案出来给棘刺道歉！,1,2025-03-22 23:10:58,根评论,5147135768003371
5147135738383945,依附併發症,男,0,1147,中国香港,对不起棘刺都怪我dps太低没能让你强度超大杯对不起棘刺都怪我dps太低没能让你强度超大杯对不起棘刺都怪我dps太低没能让你强度超大杯对不起棘刺都怪我dps太低没能让你强度超大杯对不起棘刺都怪我dps太低没能让你强度超大杯对不起棘刺都怪我dps太低没能让你强度超大杯对不起棘刺都怪我dps太低,1,2025-03-22 23:10:52,根评论,5147135738383945
5147128235819176,出苍白海全否定bot,男,0,41,河北,📢出苍白海重写听到没有！出苍白海文案出来给棘刺道歉！📢出苍白海重写听到没有！出苍白海文案出来给棘刺道歉！📢出苍白海重写听到没有！出苍白海文案出来给棘刺道歉！📢出苍白海重写听到没有！出苍白海文案出来给棘刺道歉！,1,2025-03-22 22:41:02,根评论,5147128235819176
5147126771224405,出苍白海全否定bot,男,0,41,河北,对不起棘刺都怪我dps太低没能让你强度超大杯对不起棘刺都怪我dps太低没能让你强度超大杯对不起棘刺都怪我dps太低没能让你强度超大杯对不起棘刺都怪我dps太低没能让你强度超大杯对不起棘刺都怪我dps太低没能让你强度超大杯对不起棘刺都怪我dps太低没能让你强度超大杯对不起棘刺都怪我dps太低,1,2025-03-22 22:35:14,根评论,5147126771224405
5147126711719714,出苍白海全否定bot,男,0,41,河北,说我饭圈我也认了🖐😭🖐说我血腥厨子我也认了🖐😭🖐因为哭得够大就是可以加强🖐😭🖐但去年哭了5w技能剧情依旧原封不动依旧被骂🖐😭🖐到底是不是哭得大就有奶吃🖐😭🖐我们棘刺技能怎么没能优化啊🖐😭🖐重来一世我一定要让棘刺夺回他的内部爱🖐😭🖐,1,2025-03-22 22:35:00,根评论,5147126711719714
5147029887255125,用户7319330113,女,0,6,安徽,[打call][打call][打call][打call][打call],0,2025-03-22 16:10:14,根评论,5147029887255125
5146787091318306,太阳出来咿呀喂呀,女,0,17,北京,回复@AsTar_y:下毒的二天赋和没有什么加强的模组你看看呢[允悲]但凡遇上高法抗敌人就失去所有力气和手段[微笑]再怎么也是半周年限定给 yj带那么多货还不配有加强了吗,0,2025-03-22 00:05:27,子评论,5141591841836956
5146707684494872,依附併發症,男,0,1147,中国香港,说我饭圈我也认了🖐😭🖐说我血腥厨子我也认了🖐😭🖐因为哭得够大就是可以加强🖐😭🖐但去年哭了5w技能剧情依旧原封不动依旧被骂🖐😭🖐到底是不是哭得大就有奶吃🖐😭🖐我们棘刺技能怎么没能优化啊🖐😭🖐重来一世我一定要让棘刺夺回他的内部爱🖐😭🖐,4,2025-03-21 18:49:56,根评论,5146707684494872
